"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"15429",188.284722222222,3.66,10.48,3.66,10.48,3.66,10.48
"15430",188.288194444444,3.08,11.39,3.08,11.39,3.08,11.39
"15431",188.291666666667,2.52,9.68,2.52,9.68,2.52,9.68
"15432",188.295138888889,2.76,11.38,2.76,11.38,2.76,11.38
"15433",188.298611111111,2.95,9.72,2.95,9.72,2.95,9.72
"15434",188.302083333333,2.61,10.67,2.61,10.67,2.61,10.67
"15435",188.305555555556,2.77,11.19,2.77,11.19,2.77,11.19
"15436",188.309027777778,2.54,9.8,2.54,9.8,2.54,9.8
"15437",188.3125,2.39,10.32,2.39,10.32,2.39,10.32
"15438",188.315972222222,2.77,11.91,2.77,11.91,2.77,11.91
"15439",188.319444444444,2.65,10.38,2.65,10.38,2.65,10.38
"15440",188.322916666667,NA,10.31,2.70863525621077,10.31,2.4573601304797,10.31
"15441",188.326388888889,2.62,9.63,2.62,9.63,2.62,9.63
"15442",188.329861111111,2.44,9.84,2.44,9.84,2.44,9.84
"15443",188.333333333333,2.46,8.81,2.46,8.81,2.46,8.81
"15444",188.336805555556,2.47,9.22,2.47,9.22,2.47,9.22
"15445",188.340277777778,2.45,9.93,2.45,9.93,2.45,9.93
"15446",188.34375,2.41,9.24,2.41,9.24,2.41,9.24
"15447",188.347222222222,2.32,9.01,2.32,9.01,2.32,9.01
"15448",188.350694444444,2.44,9.54,2.44,9.54,2.44,9.54
"15449",188.354166666667,2.49,9.19,2.49,9.19,2.49,9.19
"15450",188.357638888889,2.47,8.46,2.47,8.46,2.47,8.46
"15451",188.361111111111,2.55,8.62,2.55,8.62,2.55,8.62
"15452",188.364583333333,2.66,9.96,2.66,9.96,2.66,9.96
"15453",188.368055555556,2.61,8.76,2.61,8.76,2.61,8.76
"15454",188.371527777778,2.54,8.72,2.54,8.72,2.54,8.72
"15455",188.375,2.44,8.03,2.44,8.03,2.44,8.03
"15456",188.378472222222,2.5,8.43,2.5,8.43,2.5,8.43
"15457",188.381944444444,2.43,8.3,2.43,8.3,2.43,8.3
"15458",188.385416666667,2.55,8.97,2.55,8.97,2.55,8.97
