"doy","thermocline","depth","lake","year"
190,"ZT1a",1.41666666666667,"T",2025
190,"ZT1b",4.5,"T",2025
190,"ZT2",2.75,"T",2025
197,"ZT1a",1.46739130434783,"T",2025
197,"ZT1b",4.75,"T",2025
197,"ZT2",2.75,"T",2025
204,"ZT1a",1.84523809523809,"T",2025
204,"ZT1b",4.89285714285714,"T",2025
204,"ZT2",2.75,"T",2025
211,"ZT1a",1.25,"T",2025
211,"ZT1b",5,"T",2025
211,"ZT2",2.75,"T",2025
218,"ZT1a",1.82142857142857,"T",2025
218,"ZT1b",5.25,"T",2025
218,"ZT2",2.25,"T",2025
225,"ZT1a",0,"T",2025
225,"ZT1b",0,"T",2025
225,"ZT2",NA,"T",2025
232,"ZT1a",2.32692307692308,"T",2025
232,"ZT1b",5.08333333333333,"T",2025
232,"ZT2",3.25,"T",2025
