"DOY","Ztherm","Lake","Year","DOC","kPAR","cumulative.load","daily.load","Manual_Chl"
177,NA,"L",2015,3.41952380985714,0.7480299368673,8.4,0.3,1.94177812
178,NA,"L",2015,3.39380952414286,0.749958618498537,8.7,0.3,1.666358583
179,NA,"L",2015,3.36809523842857,0.751887300129773,9,0.3,1.736425563
180,NA,"L",2015,3.34238095271429,0.753815981761009,9.3,0.3,2.033537713
181,3.25,"L",2015,3.316666667,0.755744663392245,9.6,0.3,2.26641893
182,NA,"L",2015,3.36380952414286,0.767132754539682,9.9,0.3,1.948224908
183,NA,"L",2015,3.41095238128571,0.77852084568712,10.2,0.3,2.530730192
184,NA,"L",2015,3.45809523842857,0.789908936834557,10.5,0.3,1.868270351
185,NA,"L",2015,3.50523809557143,0.801297027981994,10.8,0.3,1.714920631
186,NA,"L",2015,3.55238095271429,0.812685119129431,11.1,0.3,1.596604401
187,NA,"L",2015,3.59952380985714,0.824073210276869,11.4,0.3,2.070885916
188,3.25,"L",2015,3.646666667,0.835461301424306,11.7,0.3,2.18153857
189,NA,"L",2015,3.60238095271429,0.81843019425318,12,0.3,2.085725884
190,NA,"L",2015,3.55809523842857,0.801399087082055,12.3,0.3,2.211205211
191,NA,"L",2015,3.51380952414286,0.784367979910929,12.6,0.3,2.082671401
192,NA,"L",2015,3.46952380985714,0.767336872739803,12.9,0.3,1.721537112
193,NA,"L",2015,3.42523809557143,0.750305765568677,13.2,0.3,1.736972962
194,NA,"L",2015,3.38095238128571,0.733274658397552,13.5,0.3,2.34122247
195,4.25,"L",2015,3.336666667,0.716243551226426,13.8,0.3,1.824087489
196,NA,"L",2015,3.356666667,0.732430103829373,14.1,0.3,1.943733114
197,NA,"L",2015,3.376666667,0.748616656432321,14.4,0.3,1.68645592
198,NA,"L",2015,3.396666667,0.764803209035268,14.7,0.3,2.203199902
199,NA,"L",2015,3.416666667,0.780989761638215,15,0.3,2.226816228
200,NA,"L",2015,3.436666667,0.797176314241162,15.3,0.3,1.686846919
201,NA,"L",2015,3.456666667,0.81336286684411,15.6,0.3,1.631872491
202,3.25,"L",2015,3.476666667,0.829549419447057,15.9,0.3,1.55554953
203,NA,"L",2015,3.48380952414286,0.814644570066401,16.2,0.3,2.090201256
204,NA,"L",2015,3.49095238128571,0.799739720685745,16.5,0.3,1.921488412
205,NA,"L",2015,3.49809523842857,0.784834871305089,16.8,0.3,1.851535603
206,NA,"L",2015,3.50523809557143,0.769930021924432,17.1,0.3,1.139761431
207,NA,"L",2015,3.51238095271429,0.755025172543776,17.4,0.3,1.5649335
208,NA,"L",2015,3.51952380985714,0.74012032316312,17.7,0.3,1.530837625
209,4.25,"L",2015,3.526666667,0.725215473782464,18,0.3,1.547182156
210,NA,"L",2015,3.50095238128571,0.719619758463623,18.3,0.3,1.994093757
211,NA,"L",2015,3.47523809557143,0.714024043144782,18.6,0.3,1.933723546
212,NA,"L",2015,3.44952380985714,0.708428327825941,18.9,0.3,2.029127247
213,NA,"L",2015,3.42380952414286,0.7028326125071,19.2,0.3,2.03139504
214,NA,"L",2015,3.39809523842857,0.69723689718826,19.5,0.3,2.384921275
215,NA,"L",2015,3.37238095271429,0.691641181869419,19.8,0.3,2.112836175
216,4.25,"L",2015,3.346666667,0.686045466550578,20.1,0.3,2.356767017
217,NA,"L",2015,3.33809523842857,0.675369473449026,20.4,0.3,2.375082964
218,NA,"L",2015,3.32952380985714,0.664693480347474,20.7,0.3,2.085352871
219,NA,"L",2015,3.32095238128571,0.654017487245922,21,0.3,2.248164761
220,NA,"L",2015,3.31238095271429,0.643341494144369,21.3,0.3,2.357957217
221,NA,"L",2015,3.30380952414286,0.632665501042817,21.6,0.3,2.428806195
222,NA,"L",2015,3.29523809557143,0.621989507941265,21.9,0.3,1.906054908
223,4.25,"L",2015,3.286666667,0.611313514839713,22.2,0.3,2.480534552
224,NA,"L",2015,3.33238095271429,0.638031632886471,22.5,0.3,2.144862885
225,NA,"L",2015,3.37809523842857,0.664749750933228,22.8,0.3,1.830107306
226,NA,"L",2015,3.42380952414286,0.691467868979986,23.1,0.3,2.385014333
227,NA,"L",2015,3.46952380985714,0.718185987026743,23.4,0.3,2.190609741
228,NA,"L",2015,3.51523809557143,0.744904105073501,23.7,0.3,2.13023953
229,NA,"L",2015,3.56095238128571,0.771622223120258,24,0.3,2.876186995
230,4.25,"L",2015,3.606666667,0.798340341167016,24.3,0.3,2.3904195
231,NA,"L",2015,3.57952380985714,0.786649068212069,24.6,0.3,2.583563511
232,NA,"L",2015,3.55238095271429,0.774957795257122,24.9,0.3,2.946253975
233,NA,"L",2015,3.52523809557143,0.763266522302175,25.2,0.3,2.544307234
234,NA,"L",2015,3.49809523842857,0.751575249347227,25.5,0.3,2.628997569
235,NA,"L",2015,3.47095238128571,0.73988397639228,25.8,0.3,2.859765046
236,NA,"L",2015,3.44380952414286,0.728192703437333,26.1,0.3,3.158097112
